id,project_id,cost_code,name,created_at,start_on_site,practical_completion,scope_generated_at,scope_approved_at,tender_sent_at,recommendation_approved_at,contract_generated_at,contract_signed_at
6755c6e2-58cb-4056-92aa-0289b86169a7,f71d3ed6-967c-4404-81d9-712b5a832fd0,13000,Earthworks & Sports Fields,2024-02-01 22:49:25,2024-02-20,2025-02-19,2022-11-28,2022-12-12,2022-12-12,2023-01-09,2023-01-23,2023-02-13
40dbcc40-8032-43bf-a6e9-00f2d8962846,f71d3ed6-967c-4404-81d9-712b5a832fd0,13500,Piling & Retention,2024-02-01 23:54:13,2024-05-21,2024-05-30,2023-02-26,2023-03-12,2023-03-12,2023-04-09,2023-04-23,
b10ea7a0-5025-4f06-8541-bc5d51cdeaa2,f71d3ed6-967c-4404-81d9-712b5a832fd0,15000,Insitu Concrete,2024-02-01 23:56:34,2024-05-07,2024-08-25,2023-02-12,,2023-02-26,,2023-04-09,
f2eb75a5-07ec-45f0-81a1-90912f8add90,f71d3ed6-967c-4404-81d9-712b5a832fd0,15200,Precast,2024-02-01 23:57:13,,2024-08-08,,,2023-05-09,,2023-06-20,
f5512ab0-debe-4bcd-a27d-11e2b58cbe28,f71d3ed6-967c-4404-81d9-712b5a832fd0,25000,Roofing And Metal Wall Cladding,2024-02-01 23:58:34,2024-08-13,2024-10-27,,,,,2023-07-16,2023-08-06
a83b34e0-3750-4278-b3a6-2500d68f4985,f71d3ed6-967c-4404-81d9-712b5a832fd0,22000,Metalwork,2024-02-01 23:59:41,2025-02-04,2025-02-28,2023-11-12,2023-11-26,,,2024-01-07,2024-01-28
4245ce02-c9ce-4f57-ad0d-e07217dccd23,f71d3ed6-967c-4404-81d9-712b5a832fd0,24000,Aluminium Windows (glazing),2024-02-02 0:01:18,2024-07-19,2024-08-01,2023-04-26,2023-05-10,2023-05-10,2023-06-07,2023-06-21,2023-07-12
0838a882-7a60-428d-9983-7e62250702cb,f71d3ed6-967c-4404-81d9-712b5a832fd0,33050,Doors & Frames (Supply),2024-02-02 0:01:37,2024-10-06,2024-10-19,2023-07-14,2023-07-28,2023-07-28,2023-08-25,2023-09-08,2023-09-29
6beaac3b-986d-4901-9cd1-1640e1985e8e,f71d3ed6-967c-4404-81d9-712b5a832fd0,30000,Ceilings & Partitions,2024-02-02 0:02:37,,2024-12-21,2023-07-17,2023-07-31,2023-07-31,2023-08-28,2023-09-11,
02560231-e1fb-41c8-a0c6-f6352b22a419,f71d3ed6-967c-4404-81d9-712b5a832fd0,32000,Floor & wall finish,2024-02-02 0:04:15,2024-11-13,2025-02-10,2023-08-21,2023-09-04,,,2023-10-16,
